"","group_id","beta1beta2","beta2minus1","varY1varY2","var2minus1","rho01rho02","rho02minus01","BestMethod","method2","method3","method4_chi2","count"
"1",10,"(0.4, 0.4)",0,"(1, 0.5)",-0.5,"(0.1, 0.1)",0,"Method 3",NA,96,NA,1
"2",4,"(0.4, 0.4)",0,"(1, 1)",0,"(0.1, 0.05)",-0.05,"Method 3",NA,96,NA,1
"3",13,"(0.4, 0.4)",0,"(1, 1)",0,"(0.1, 0.1)",0,"Method 2",96,NA,NA,1
"4",22,"(0.4, 0.4)",0,"(1, 1)",0,"(0.05, 0.1)",0.05,"Method 3",NA,96,NA,1
"5",16,"(0.4, 0.4)",0,"(0.5, 1)",0.5,"(0.1, 0.1)",0,"Method 3",NA,96,NA,1
"6",2,"(0.25, 0.4)",0.15,"(1, 0.5)",-0.5,"(0.1, 0.05)",-0.05,"Method 4 (Chi2)",NA,NA,96,1
"7",14,"(0.25, 0.4)",0.15,"(1, 1)",0,"(0.1, 0.1)",0,"Method 2",96,NA,NA,1
"8",23,"(0.25, 0.4)",0.15,"(1, 1)",0,"(0.05, 0.1)",0.05,"Method 2",96,NA,NA,1
"9",26,"(0.25, 0.4)",0.15,"(0.5, 1)",0.5,"(0.05, 0.1)",0.05,"Method 3",NA,96,NA,1
"10",3,"(0.1, 0.4)",0.3,"(1, 0.5)",-0.5,"(0.1, 0.05)",-0.05,"Method 4 (Chi2)",NA,NA,96,1
"11",12,"(0.1, 0.4)",0.3,"(1, 0.5)",-0.5,"(0.1, 0.1)",0,"Method 4 (Chi2)",NA,NA,96,1
"12",21,"(0.1, 0.4)",0.3,"(1, 0.5)",-0.5,"(0.05, 0.1)",0.05,"Method 4 (Chi2)",NA,NA,96,1
"13",6,"(0.1, 0.4)",0.3,"(1, 1)",0,"(0.1, 0.05)",-0.05,"Method 4 (Chi2)",NA,NA,96,1
"14",15,"(0.1, 0.4)",0.3,"(1, 1)",0,"(0.1, 0.1)",0,"Method 4 (Chi2)",NA,NA,96,1
"15",9,"(0.1, 0.4)",0.3,"(0.5, 1)",0.5,"(0.1, 0.05)",-0.05,"Method 4 (Chi2)",NA,NA,96,1
