"","group_id","beta1beta2","beta2minus1","varY1varY2","var2minus1","rho01rho02","rho02minus01","method2","method3","method4_chi2","count"
"1",1,"(0.4, 0.4)",0,"(1, 0.5)",-0.5,"(0.1, 0.05)",-0.05,NA,58,38,2
"2",19,"(0.4, 0.4)",0,"(1, 0.5)",-0.5,"(0.05, 0.1)",0.05,9,87,NA,2
"3",7,"(0.4, 0.4)",0,"(0.5, 1)",0.5,"(0.1, 0.05)",-0.05,9,87,NA,2
"4",25,"(0.4, 0.4)",0,"(0.5, 1)",0.5,"(0.05, 0.1)",0.05,NA,58,38,2
"5",11,"(0.25, 0.4)",0.15,"(1, 0.5)",-0.5,"(0.1, 0.1)",0,NA,41,55,2
"6",20,"(0.25, 0.4)",0.15,"(1, 0.5)",-0.5,"(0.05, 0.1)",0.05,NA,72,24,2
"7",5,"(0.25, 0.4)",0.15,"(1, 1)",0,"(0.1, 0.05)",-0.05,NA,55,41,2
"8",8,"(0.25, 0.4)",0.15,"(0.5, 1)",0.5,"(0.1, 0.05)",-0.05,95,NA,1,2
"9",17,"(0.25, 0.4)",0.15,"(0.5, 1)",0.5,"(0.1, 0.1)",0,60,36,NA,2
"10",24,"(0.1, 0.4)",0.3,"(1, 1)",0,"(0.05, 0.1)",0.05,57,NA,39,2
"11",18,"(0.1, 0.4)",0.3,"(0.5, 1)",0.5,"(0.1, 0.1)",0,72,NA,24,2
"12",27,"(0.1, 0.4)",0.3,"(0.5, 1)",0.5,"(0.05, 0.1)",0.05,78,NA,18,2
