"","BetaCase","VarCase","RhoCase","method2 = method3","method2 = method4_F","method2","method3","method4_F","method5_MVN","n"
"1","beta1 < beta2","varY1 < varY2","rho01 < rho02","0% (n = 0)","0% (n = 0)","46.88% (n = 90)","46.88% (n = 90)","3.12% (n = 6)","3.12% (n = 6)",192
"2","beta1 < beta2","varY1 < varY2","rho01 = rho02","1.56% (n = 3)","0.52% (n = 1)","73.44% (n = 141)","18.75% (n = 36)","5.73% (n = 11)","0% (n = 0)",192
"3","beta1 < beta2","varY1 < varY2","rho01 > rho02","0% (n = 0)","0% (n = 0)","58.85% (n = 113)","0% (n = 0)","41.15% (n = 79)","0% (n = 0)",192
"4","beta1 < beta2","varY1 = varY2","rho01 < rho02","0% (n = 0)","0% (n = 0)","85.42% (n = 164)","0% (n = 0)","13.02% (n = 25)","1.56% (n = 3)",192
"5","beta1 < beta2","varY1 = varY2","rho01 = rho02","58.85% (n = 113)","0% (n = 0)","0% (n = 0)","0% (n = 0)","41.15% (n = 79)","0% (n = 0)",192
"6","beta1 < beta2","varY1 = varY2","rho01 > rho02","0% (n = 0)","0% (n = 0)","0% (n = 0)","38.02% (n = 73)","61.98% (n = 119)","0% (n = 0)",192
"7","beta1 < beta2","varY1 > varY2","rho01 < rho02","0% (n = 0)","0% (n = 0)","0% (n = 0)","46.88% (n = 90)","53.12% (n = 102)","0% (n = 0)",192
"8","beta1 < beta2","varY1 > varY2","rho01 = rho02","0% (n = 0)","0% (n = 0)","0% (n = 0)","40.1% (n = 77)","59.9% (n = 115)","0% (n = 0)",192
"9","beta1 < beta2","varY1 > varY2","rho01 > rho02","0% (n = 0)","0% (n = 0)","0% (n = 0)","8.85% (n = 17)","91.15% (n = 175)","0% (n = 0)",192
"10","beta1 = beta2","varY1 < varY2","rho01 < rho02","0% (n = 0)","0% (n = 0)","0% (n = 0)","78.12% (n = 75)","21.88% (n = 21)","0% (n = 0)",96
"11","beta1 = beta2","varY1 < varY2","rho01 = rho02","0% (n = 0)","0% (n = 0)","0% (n = 0)","100% (n = 96)","0% (n = 0)","0% (n = 0)",96
"12","beta1 = beta2","varY1 < varY2","rho01 > rho02","2.08% (n = 2)","0% (n = 0)","0% (n = 0)","84.38% (n = 81)","0% (n = 0)","13.54% (n = 13)",96
"13","beta1 = beta2","varY1 = varY2","rho01 < rho02","0% (n = 0)","0% (n = 0)","0% (n = 0)","97.92% (n = 94)","0% (n = 0)","2.08% (n = 2)",96
"14","beta1 = beta2","varY1 = varY2","rho01 = rho02","100% (n = 96)","0% (n = 0)","0% (n = 0)","0% (n = 0)","0% (n = 0)","0% (n = 0)",96
"15","beta1 = beta2","varY1 = varY2","rho01 > rho02","0% (n = 0)","0% (n = 0)","0% (n = 0)","97.92% (n = 94)","0% (n = 0)","2.08% (n = 2)",96
"16","beta1 = beta2","varY1 > varY2","rho01 < rho02","2.08% (n = 2)","0% (n = 0)","0% (n = 0)","84.38% (n = 81)","0% (n = 0)","13.54% (n = 13)",96
"17","beta1 = beta2","varY1 > varY2","rho01 = rho02","0% (n = 0)","0% (n = 0)","0% (n = 0)","100% (n = 96)","0% (n = 0)","0% (n = 0)",96
"18","beta1 = beta2","varY1 > varY2","rho01 > rho02","0% (n = 0)","0% (n = 0)","0% (n = 0)","78.12% (n = 75)","21.88% (n = 21)","0% (n = 0)",96
