"","group_id","beta1beta2","beta2minus1","varY1varY2","var2minus1","rho01rho02","rho02minus01","method2 = method3","method2 = method4_F","method2","method3","method4_F","method5_MVN","n"
"1",1,"(0.4, 0.4)",0,"(1, 0.5)",-0.5,"(0.1, 0.05)",-0.05,"0% (n = 0)","0% (n = 0)","0% (n = 0)","78.12% (n = 75)","21.88% (n = 21)","0% (n = 0)",96
"2",10,"(0.4, 0.4)",0,"(1, 0.5)",-0.5,"(0.1, 0.1)",0,"0% (n = 0)","0% (n = 0)","0% (n = 0)","100% (n = 96)","0% (n = 0)","0% (n = 0)",96
"3",19,"(0.4, 0.4)",0,"(1, 0.5)",-0.5,"(0.05, 0.1)",0.05,"2.08% (n = 2)","0% (n = 0)","0% (n = 0)","84.38% (n = 81)","0% (n = 0)","13.54% (n = 13)",96
"4",4,"(0.4, 0.4)",0,"(1, 1)",0,"(0.1, 0.05)",-0.05,"0% (n = 0)","0% (n = 0)","0% (n = 0)","97.92% (n = 94)","0% (n = 0)","2.08% (n = 2)",96
"5",13,"(0.4, 0.4)",0,"(1, 1)",0,"(0.1, 0.1)",0,"100% (n = 96)","0% (n = 0)","0% (n = 0)","0% (n = 0)","0% (n = 0)","0% (n = 0)",96
"6",22,"(0.4, 0.4)",0,"(1, 1)",0,"(0.05, 0.1)",0.05,"0% (n = 0)","0% (n = 0)","0% (n = 0)","97.92% (n = 94)","0% (n = 0)","2.08% (n = 2)",96
"7",7,"(0.4, 0.4)",0,"(0.5, 1)",0.5,"(0.1, 0.05)",-0.05,"2.08% (n = 2)","0% (n = 0)","0% (n = 0)","84.38% (n = 81)","0% (n = 0)","13.54% (n = 13)",96
"8",16,"(0.4, 0.4)",0,"(0.5, 1)",0.5,"(0.1, 0.1)",0,"0% (n = 0)","0% (n = 0)","0% (n = 0)","100% (n = 96)","0% (n = 0)","0% (n = 0)",96
"9",25,"(0.4, 0.4)",0,"(0.5, 1)",0.5,"(0.05, 0.1)",0.05,"0% (n = 0)","0% (n = 0)","0% (n = 0)","78.12% (n = 75)","21.88% (n = 21)","0% (n = 0)",96
"10",2,"(0.25, 0.4)",0.15,"(1, 0.5)",-0.5,"(0.1, 0.05)",-0.05,"0% (n = 0)","0% (n = 0)","0% (n = 0)","17.71% (n = 17)","82.29% (n = 79)","0% (n = 0)",96
"11",11,"(0.25, 0.4)",0.15,"(1, 0.5)",-0.5,"(0.1, 0.1)",0,"0% (n = 0)","0% (n = 0)","0% (n = 0)","80.21% (n = 77)","19.79% (n = 19)","0% (n = 0)",96
"12",20,"(0.25, 0.4)",0.15,"(1, 0.5)",-0.5,"(0.05, 0.1)",0.05,"0% (n = 0)","0% (n = 0)","0% (n = 0)","92.71% (n = 89)","7.29% (n = 7)","0% (n = 0)",96
"13",5,"(0.25, 0.4)",0.15,"(1, 1)",0,"(0.1, 0.05)",-0.05,"0% (n = 0)","0% (n = 0)","0% (n = 0)","76.04% (n = 73)","23.96% (n = 23)","0% (n = 0)",96
"14",14,"(0.25, 0.4)",0.15,"(1, 1)",0,"(0.1, 0.1)",0,"100% (n = 96)","0% (n = 0)","0% (n = 0)","0% (n = 0)","0% (n = 0)","0% (n = 0)",96
"15",23,"(0.25, 0.4)",0.15,"(1, 1)",0,"(0.05, 0.1)",0.05,"0% (n = 0)","0% (n = 0)","96.88% (n = 93)","0% (n = 0)","0% (n = 0)","3.12% (n = 3)",96
"16",8,"(0.25, 0.4)",0.15,"(0.5, 1)",0.5,"(0.1, 0.05)",-0.05,"0% (n = 0)","0% (n = 0)","100% (n = 96)","0% (n = 0)","0% (n = 0)","0% (n = 0)",96
"17",17,"(0.25, 0.4)",0.15,"(0.5, 1)",0.5,"(0.1, 0.1)",0,"3.12% (n = 3)","0% (n = 0)","59.38% (n = 57)","37.5% (n = 36)","0% (n = 0)","0% (n = 0)",96
"18",26,"(0.25, 0.4)",0.15,"(0.5, 1)",0.5,"(0.05, 0.1)",0.05,"0% (n = 0)","0% (n = 0)","0% (n = 0)","93.75% (n = 90)","0% (n = 0)","6.25% (n = 6)",96
"19",3,"(0.1, 0.4)",0.3,"(1, 0.5)",-0.5,"(0.1, 0.05)",-0.05,"0% (n = 0)","0% (n = 0)","0% (n = 0)","0% (n = 0)","100% (n = 96)","0% (n = 0)",96
"20",12,"(0.1, 0.4)",0.3,"(1, 0.5)",-0.5,"(0.1, 0.1)",0,"0% (n = 0)","0% (n = 0)","0% (n = 0)","0% (n = 0)","100% (n = 96)","0% (n = 0)",96
"21",21,"(0.1, 0.4)",0.3,"(1, 0.5)",-0.5,"(0.05, 0.1)",0.05,"0% (n = 0)","0% (n = 0)","0% (n = 0)","1.04% (n = 1)","98.96% (n = 95)","0% (n = 0)",96
"22",6,"(0.1, 0.4)",0.3,"(1, 1)",0,"(0.1, 0.05)",-0.05,"0% (n = 0)","0% (n = 0)","0% (n = 0)","0% (n = 0)","100% (n = 96)","0% (n = 0)",96
"23",15,"(0.1, 0.4)",0.3,"(1, 1)",0,"(0.1, 0.1)",0,"17.71% (n = 17)","0% (n = 0)","0% (n = 0)","0% (n = 0)","82.29% (n = 79)","0% (n = 0)",96
"24",24,"(0.1, 0.4)",0.3,"(1, 1)",0,"(0.05, 0.1)",0.05,"0% (n = 0)","0% (n = 0)","73.96% (n = 71)","0% (n = 0)","26.04% (n = 25)","0% (n = 0)",96
"25",9,"(0.1, 0.4)",0.3,"(0.5, 1)",0.5,"(0.1, 0.05)",-0.05,"0% (n = 0)","0% (n = 0)","17.71% (n = 17)","0% (n = 0)","82.29% (n = 79)","0% (n = 0)",96
"26",18,"(0.1, 0.4)",0.3,"(0.5, 1)",0.5,"(0.1, 0.1)",0,"0% (n = 0)","1.04% (n = 1)","87.5% (n = 84)","0% (n = 0)","11.46% (n = 11)","0% (n = 0)",96
"27",27,"(0.1, 0.4)",0.3,"(0.5, 1)",0.5,"(0.05, 0.1)",0.05,"0% (n = 0)","0% (n = 0)","93.75% (n = 90)","0% (n = 0)","6.25% (n = 6)","0% (n = 0)",96
